Threads, Generations, Time
1, 229376, 134.428445
1, 180224, 101.998631
1, 196608, 112.465867
1, 147456, 91.799797
1, 196608, 109.04767
1, 262144, 164.863021
1, 180224, 95.214904
1, 196608, 109.482618
1, 212992, 126.103141
1, 163840, 100.638789
1, 131072, 82.845238
1, 163840, 100.005568
1, 114688, 67.061385
1, 196608, 106.644963
1, 196608, 119.552167
1, 81920, 45.598138
1, 163840, 103.029345
1, 114688, 72.085171
1, 212992, 133.80536
1, 196608, 116.597515
1, 114688, 70.394806
1, 212992, 127.307174
1, 212992, 127.095108
1, 114688, 73.882573
1, 212992, 125.668992
1, 262144, 159.644413
1, 81920, 50.051076
1, 212992, 124.449168
1, 212992, 132.989943
1, 245760, 153.353762
1, 163840, 100.09815
1, 180224, 109.482706
1, 114688, 66.536179
1, 311296, 194.436291
1, 131072, 71.961821
1, 163840, 94.310324
1, 114688, 66.573522
1, 147456, 81.886145
1, 245760, 147.509704
1, 229376, 139.565092
1, 114688, 69.206697
1, 114688, 65.719906
1, 147456, 88.973038
1, 180224, 112.146327
1, 360448, 223.364943
1, 131072, 79.793814
1, 81920, 52.140656
1, 229376, 147.780364
1, 114688, 64.764081
1, 163840, 99.970763
1, 212992, 120.741574
1, 180224, 109.383874
1, 114688, 63.948988
1, 212992, 126.130003
1, 327680, 207.631719
1, 163840, 94.454658
1, 180224, 105.639039
1, 245760, 150.910238
1, 147456, 87.884058
1, 180224, 106.860695
1, 278528, 172.122815
1, 212992, 128.475971
1, 180224, 107.720184
1, 245760, 146.360976
1, 131072, 77.032931
1, 229376, 141.140852
1, 196608, 115.819034
1, 163840, 103.206908
1, 212992, 127.153237
1, 114688, 72.470513
1, 163840, 97.394293
1, 131072, 80.29405
1, 212992, 126.065613
1, 180224, 105.869762
1, 147456, 87.969797
1, 131072, 74.686577
1, 212992, 122.601267
1, 278528, 176.863991
1, 229376, 140.734327
1, 262144, 161.469223
1, 163840, 96.230006
1, 229376, 142.57824
1, 114688, 71.272032
1, 262144, 160.675974
1, 245760, 155.730695
1, 311296, 193.756739
1, 196608, 115.686688
1, 278528, 174.626114
1, 212992, 124.259181
1, 147456, 83.375049
1, 147456, 87.640589
1, 131072, 80.804323
1, 163840, 96.822573
1, 180224, 107.251399
1, 180224, 104.037196
1, 180224, 105.327089
1, 114688, 73.192765
1, 180224, 112.507431
1, 180224, 114.417502
1, 196608, 115.991353
