"row","gap","time","evaluations","avg.eval"
"1","8",67.212557,94208,1401.64285075481
"2","8",57.5382,79872,1388.15604242051
"3","8",72.696704,100352,1380.42021822612
"4","8",101.210233,137216,1355.75223900532
"5","8",55.351351,75776,1369.00000868994
"6","8",37.366616,51200,1370.20703185967
"7","8",127.67929,172032,1347.37591350954
"8","8",57.873903,77824,1344.71663333299
"9","8",120.422894,161792,1343.53190349337
"10","8",121.178021,163840,1352.06037074991
"11","8",41.537792,57344,1380.52595573689
"12","8",109.88117,149504,1360.59708865495
"13","8",96.809107,133120,1375.07724350768
"14","8",65.776524,90112,1369.97205872417
"15","8",101.277734,137216,1354.84863829991
"16","8",67.782304,92160,1359.64690725178
"17","8",90.199132,122880,1362.31909637445
"18","8",56.46422,77824,1378.28876410584
"19","8",56.435189,75776,1342.70835878657
"20","8",68.225985,92160,1350.80497555294
"21","8",60.588125,81920,1352.08013121383
"22","8",90.692726,122880,1354.90469213595
"23","8",48.081503,65536,1363.01895554305
"24","8",55.091365,73728,1338.28595461376
"25","8",65.509012,88064,1344.30358986333
"26","8",58.718276,79872,1360.257920379
"27","8",55.804079,75776,1357.89356903462
"28","8",108.868139,147456,1354.44585858127
"29","8",44.094789,59392,1346.91652566928
"30","8",50.930245,69632,1367.20331897088
"31","8",41.658244,63488,1524.02007151334
"32","8",112.41307,163840,1457.48176791186
"33","8",40.467803,59392,1467.63588821464
"34","8",65.814414,96256,1462.53676284347
"35","8",73.333169,104448,1424.29410080451
"36","8",104.748995,149504,1427.25951690515
"37","8",86.493048,122880,1420.69221563333
"38","8",53.174974,77824,1463.5456145216
"39","8",70.339575,100352,1426.67907788752
"40","8",30.506882,45056,1476.91265203701
"41","8",59.928202,86016,1435.31754882284
"42","8",71.638141,102400,1429.40615949261
"43","8",68.299081,98304,1439.31658465507
"44","8",49.761466,73728,1481.62837485535
"45","8",88.117245,124928,1417.74745681166
"46","8",68.974962,98304,1425.21281852972
"47","8",64.177662,92160,1436.01367092494
"48","8",55.194521,79872,1447.10015691594
"49","8",71.425722,102400,1433.65719145268
"50","8",28.935572,43008,1486.33661017657
"51","8",65.949769,96256,1459.53505917511
"52","8",85.42167,122880,1438.51086030044
"53","8",54.457783,77824,1429.07029469048
"54","8",66.993987,96256,1436.78566256999
"55","8",61.672507,90112,1461.13729412686
"56","8",103.88634,149504,1439.11124407694
"57","8",59.079132,86016,1455.9455612855
"58","8",83.44763,118784,1423.4556451753
"59","8",75.357993,108544,1440.3780631472
"60","8",72.631632,104448,1438.05112351048
"61","8",34.516977,53248,1542.66116641675
"62","8",48.933362,75776,1548.55495111903
"63","8",91.680224,137216,1496.68046186275
"64","8",68.967923,102400,1484.74820678593
"65","8",72.133139,106496,1476.38105697854
"66","8",42.249066,63488,1502.7077758358
"67","8",41.862705,61440,1467.65480157099
"68","8",51.841447,75776,1461.68759525559
"69","8",48.093911,71680,1490.41736281335
"70","8",40.555328,61440,1514.96740452944
"71","8",173.643301,249856,1438.9037674422
"72","8",83.10896,120832,1453.89859288337
"73","8",67.618036,98304,1453.81329916178
"74","8",95.352384,139264,1460.5193300673
"75","8",61.444322,88064,1433.23251251759
"76","8",46.065649,67584,1467.12358269391
"77","8",60.821436,90112,1481.58290771037
"78","8",50.294963,73728,1465.91220277864
"79","8",30.918451,45056,1457.25282291794
"80","8",42.664895,63488,1488.06178944071
"81","8",104.556009,153600,1469.06908047724
"82","8",62.286003,90112,1446.74558744763
"83","8",42.469206,63488,1494.91845927141
"84","8",55.041798,81920,1488.32347373536
"85","8",35.447836,53248,1502.15093525032
"86","8",50.690639,75776,1494.87166654182
"87","8",47.57551,69632,1463.61016413697
"88","8",78.156044,114688,1467.42329998176
"89","8",64.866417,94208,1452.33858068652
"90","8",77.582583,114688,1478.26993592106
"91","8",40.709399,65536,1609.84936181445
"92","8",70.203401,110592,1575.30829596133
"93","8",32.978054,53248,1614.64954845425
"94","8",102.557525,157696,1537.63461042961
"95","8",52.533963,81920,1559.37217224598
"96","8",68.295979,104448,1529.34333073987
"97","8",44.859555,69632,1552.22226346204
"98","8",57.741315,90112,1560.61565276094
"99","8",99.727034,151552,1519.66817743722
"100","8",27.355145,40960,1497.34172492962
"101","8",49.91594,75776,1518.07218295398
"102","8",58.965946,90112,1528.20409257913
"103","8",47.225673,71680,1517.81849673164
"104","8",41.260664,65536,1588.34089533799
"105","8",70.158054,106496,1517.94404103626
"106","8",99.271786,151552,1526.63718571559
"107","8",56.161368,88064,1568.05297192903
"108","8",91.846124,141312,1538.57336429352
"109","8",70.849561,108544,1532.03489856486
"110","8",51.159942,77824,1521.19015303028
"111","8",52.727105,79872,1514.81861179369
"112","8",50.071515,75776,1513.35544770315
"113","8",63.546957,98304,1546.95054870999
"114","8",71.427711,108544,1519.63430551484
"115","8",26.753023,40960,1531.041931224
"116","8",93.213039,141312,1516.01108081027
"117","8",87.677309,133120,1518.29477339456
"118","8",73.299934,112640,1536.6998829767
"119","8",73.056215,110592,1513.79317967677
"120","8",60.095586,92160,1533.55689051772
"121","8",51.003131,77824,1525.86710804088
"122","8",97.923498,147456,1505.82856016847
"123","8",44.176926,67584,1529.84841000481
"124","8",38.409611,57344,1492.95966574616
"125","8",50.047843,75776,1514.07124578776
"126","8",72.599593,108544,1495.10480038091
"127","8",53.800971,81920,1522.6490986566
"128","8",74.724826,110592,1479.99006381092
"129","8",72.450189,106496,1469.92025100169
"130","8",146.210514,212992,1456.7488628075
"131","8",95.389837,139264,1459.94588501079
"132","8",66.905351,98304,1469.2995183599
"133","8",42.033078,63488,1510.42947651847
"134","8",59.389147,88064,1482.82985105006
"135","8",122.451615,180224,1471.79765656827
"136","8",29.694965,45056,1517.29426183867
"137","8",65.941413,96256,1459.72000933617
"138","8",78.808681,114688,1455.27115217167
"139","8",84.652623,122880,1451.57935625929
"140","8",75.664962,110592,1461.60120981756
"141","8",60.474185,90112,1490.09035839011
"142","8",57.487579,83968,1460.62856465046
"143","8",64.167248,94208,1468.16332219827
"144","8",87.904342,129024,1467.7773254932
"145","8",79.376725,116736,1470.65780302727
"146","8",163.478151,237568,1453.20948730329
"147","8",71.951898,106496,1480.0999412135
"148","8",46.09558,67584,1466.1709430709
"149","8",64.435691,96256,1493.83049217242
"150","8",46.683051,69632,1491.59059890923
"151","16",51.422405,122880,2389.61985539183
"152","16",47.253125,114688,2427.09873685603
"153","16",54.427883,126976,2332.92189593338
"154","16",40.15543,94208,2346.08370524235
"155","16",62.266775,143360,2302.35145468831
"156","16",48.86744,110592,2263.10197546669
"157","16",45.640728,106496,2333.35454246041
"158","16",89.161904,200704,2251.00621449268
"159","16",66.793395,147456,2207.64343540256
"160","16",82.134573,184320,2244.12197285058
"161","16",36.511428,81920,2243.68107432007
"162","16",51.037967,114688,2247.11144940393
"163","16",40.660233,94208,2316.95671788206
"164","16",65.019064,147456,2267.88869184583
"165","16",60.18331,135168,2245.93828421866
"166","16",47.117827,106496,2260.20609991204
"167","16",33.543662,77824,2320.08061612355
"168","16",85.735432,192512,2245.41937340445
"169","16",59.014825,135168,2290.4075374281
"170","16",41.715285,94208,2258.35685888278
"171","16",74.02847,163840,2213.20256922776
"172","16",45.988464,102400,2226.64536045387
"173","16",39.079103,86016,2201.0740625239
"174","16",39.518261,90112,2280.26228178411
"175","16",53.064848,122880,2315.65725016305
"176","16",20.926351,49152,2348.80892516808
"177","16",66.130732,147456,2229.76512644681
"178","16",53.519537,118784,2219.45118845105
"179","16",47.951205,110592,2306.34454337487
"180","16",37.219597,86016,2311.04060583998
"181","16",63.99963,143360,2240.01295007487
"182","16",43.044055,98304,2283.79970242116
"183","16",38.317007,86016,2244.85174429203
"184","16",108.305809,241664,2231.31152642053
"185","16",58.341365,131072,2246.63924129989
"186","16",68.372534,151552,2216.56257467363
"187","16",47.861839,106496,2225.0712096541
"188","16",85.941066,192512,2240.04668501552
"189","16",51.858448,118784,2290.54290247946
"190","16",47.204731,106496,2256.04505616185
"191","16",85.459159,192512,2252.67838172852
"192","16",57.49009,131072,2279.90598031765
"193","16",39.097333,90112,2304.81194203195
"194","16",48.928041,110592,2260.29895617525
"195","16",72.058847,163840,2273.69721860801
"196","16",43.166701,98304,2277.31093001524
"197","16",106.000132,237568,2241.20475623559
"198","16",29.385496,65536,2230.21588609564
"199","16",49.028045,110592,2255.68855539722
"200","16",32.043633,73728,2300.86270180413
"201","16",78.609744,176128,2240.53649125228
"202","16",52.471796,118784,2263.76852052101
"203","16",37.330771,86016,2304.15814342543
"204","16",61.36756,139264,2269.3423039795
"205","16",30.740882,69632,2265.12694072994
"206","16",78.616752,176128,2240.33676690179
"207","16",73.983708,163840,2214.54161232362
"208","16",67.628136,151552,2240.96077407782
"209","16",33.015384,73728,2233.14076855808
"210","16",63.81339,143360,2246.55044967835
"211","16",89.066747,200704,2253.41114119729
"212","16",49.943198,110592,2214.35559653188
"213","16",62.422556,139264,2230.98842668346
"214","16",79.325022,180224,2271.96911461304
"215","16",67.830657,147456,2173.88429541527
"216","16",57.644206,126976,2202.7539073051
"217","16",48.108765,110592,2298.79108308018
"218","16",52.736248,118784,2252.4165920943
"219","16",46.984156,106496,2266.63643803669
"220","16",94.506183,208896,2210.39505954864
"221","16",38.229466,86016,2249.99219188675
"222","16",60.843014,139264,2288.90698938748
"223","16",78.094231,176128,2255.32664506294
"224","16",37.249984,81920,2199.1955754934
"225","16",46.788073,106496,2276.13562969349
